時刻水位月表検索結果
水系名,多摩川
河川名,多摩川
観測所名,多摩川河口
観測所記号,303051283310010
#
#日付,1時データ,1時フラグ,,,,,,,,24時データ,24時フラグ
#  フラグの意味： *:暫定値, $:欠測, #:閉局, -:未登録
#
,1時,,2時,,3時,,4時,,5時,,6時,,7時,,8時,,9時,,10時,,11時,,12時,,13時,,14時,,15時,,16時,,17時,,18時,,19時,,20時,,21時,,22時,,23時,,24時,
2020/12/01,    0.44, ,    0.76, ,    1.14, ,    1.50, ,    1.76, ,    1.81, ,    1.68, ,    1.47, ,    1.22, ,    1.07, ,    0.98, ,    1.03, ,    1.16, ,    1.38, ,    1.62, ,    1.81, ,    1.86, ,    1.74, ,    1.48, ,    1.09, ,    0.70, ,    0.54, ,    0.46, ,    0.42, 
2020/12/02,    0.40, ,    0.49, ,    0.98, ,    1.36, ,    1.67, ,    1.86, ,    1.83, ,    1.69, ,    1.45, ,    1.22, ,    1.07, ,    1.02, ,    1.12, ,    1.28, ,    1.49, ,    1.70, ,    1.85, ,    1.80, ,    1.59, ,    1.24, ,    0.85, ,    0.62, ,    0.51, ,    0.44, 
2020/12/03,    0.41, ,    0.44, ,    0.79, ,    1.17, ,    1.56, ,    1.81, ,    1.87, ,    1.80, ,    1.65, ,    1.47, ,    1.30, ,    1.21, ,    1.22, ,    1.34, ,    1.54, ,    1.76, ,    1.94, ,    1.97, ,    1.82, ,    1.54, ,    1.19, ,    0.82, ,    0.63, ,    0.53, 
2020/12/04,    0.47, ,    0.45, ,    0.54, ,    0.94, ,    1.33, ,    1.66, ,    1.84, ,    1.82, ,    1.70, ,    1.53, ,    1.34, ,    1.22, ,    1.17, ,    1.24, ,    1.38, ,    1.56, ,    1.73, ,    1.84, ,    1.81, ,    1.61, ,    1.30, ,    0.98, ,    0.67, ,    0.56, 
2020/12/05,    0.48, ,    0.44, ,    0.47, ,    0.69, ,    1.03, ,    1.35, ,    1.58, ,    1.69, ,    1.71, ,    1.60, ,    1.45, ,    1.27, ,    1.17, ,    1.16, ,    1.27, ,    1.43, ,    1.60, ,    1.69, ,    1.70, ,    1.59, ,    1.40, ,    1.16, ,    0.88, ,    0.66, 
2020/12/06,    0.55, ,    0.49, ,    0.45, ,    0.52, ,    0.82, ,    1.10, ,    1.40, ,    1.58, ,    1.67, ,    1.63, ,    1.53, ,    1.38, ,    1.29, ,    1.23, ,    1.27, ,    1.36, ,    1.46, ,    1.56, ,    1.60, ,    1.62, ,    1.54, ,    1.39, ,    1.19, ,    0.95, 
2020/12/07,    0.73, ,    0.62, ,    0.57, ,    0.61, ,    0.76, ,    1.00, ,    1.24, ,    1.48, ,    1.65, ,    1.74, ,    1.70, ,    1.64, ,    1.52, ,    1.41, ,    1.34, ,    1.35, ,    1.38, ,    1.45, ,    1.49, ,    1.54, ,    1.55, ,    1.51, ,    1.41, ,    1.26, 
2020/12/08,    1.10, ,    0.89, ,    0.77, ,    0.71, ,    0.74, ,    0.85, ,    1.07, ,    1.33, ,    1.55, ,    1.70, ,    1.75, ,    1.72, ,    1.61, ,    1.49, ,    1.42, ,    1.34, ,    1.29, ,    1.25, ,    1.23, ,    1.28, ,    1.37, ,    1.46, ,    1.46, ,    1.42, 
2020/12/09,    1.28, ,    1.11, ,    0.96, ,    0.83, ,    0.75, ,    0.77, ,    0.86, ,    1.03, ,    1.27, ,    1.47, ,    1.61, ,    1.67, ,    1.65, ,    1.55, ,    1.44, ,    1.26, ,    1.14, ,    1.03, ,    0.98, ,    1.01, ,    1.10, ,    1.24, ,    1.38, ,    1.50, 
2020/12/10,    1.51, ,    1.44, ,    1.28, ,    1.11, ,    0.95, ,    0.85, ,    0.87, ,    0.95, ,    1.15, ,    1.32, ,    1.52, ,    1.68, ,    1.81, ,    1.76, ,    1.64, ,    1.40, ,    1.20, ,    0.97, ,    0.84, ,    0.80, ,    0.84, ,    1.00, ,    1.22, ,    1.44, 
